Code,Section Name,Guidance,Sample
GRI 303-1,303-1 Interactions with water as a shared resource,"a. A description of how the organization interacts with water, including how and where water is withdrawn, consumed, and discharged, and the water-related impacts the organization has caused or contributed to, or that are directly linked to its operations, products, or services by its business relationships (e.g., impacts caused by runoff).
b. A description of the approach used to identify water-related impacts, including the scope of assessments, their timeframe, and any tools or methodologies used.
c. A description of how water-related impacts are addressed, including how the organization works with stakeholders to steward water as a shared resource, and how it engages with suppliers or customers with significant water-related impacts.
d. An explanation of the process for setting any water-related goals and targets that are part of the organization’s approach to managing water and effluents, and how they relate to public policy and the local context of each area with water stress.","ABC Systems Holdings Ltd. sources water from local municipal supplies at its operational sites in Hong Kong, the Philippines, and the United Kingdom, primarily for sanitation, cooling systems, and general office use. In FY2019, total water consumption was 218 cubic meters, representing a 34% reduction from 331 cubic meters in FY2018. This data is metered, collected through water flow meters and utility bills, and verified via internal audits to ensure accuracy. All water used is discharged into municipal wastewater systems and treated in compliance with local environmental regulations. To mitigate water-related impacts, ABC has set a target to reduce water consumption by 10% by FY2022, focusing on installing water-efficient fixtures, enhancing leakage detection systems, and promoting conservation practices among employees. The company conducts annual assessments aligned with ISO 14001 standards, using consumption tracking software and engaging with local water authorities to monitor regional water stress levels and ensure regulatory compliance."
GRI 303-2,303-2 Management of water discharge-related impacts,"a. A description of any minimum standards set for the quality of effluent discharge, and how these minimum standards were determined, including: i. how standards for facilities operating in locations with no local discharge requirements were determined; ii. any internally developed water quality standards or guidelines; iii. any sector-specific standards considered; iv. whether the profile of the receiving waterbody was considered.",
GRI 303-3,303-3 Water withdrawal,"a. Total water withdrawal from all areas in megaliters, and a breakdown of this total by the following sources, if applicable:
i. Surface water;
ii. Groundwater;
iii. Seawater;
iv. Produced water;
v. Third-party water.
b. Total water withdrawal from all areas with water stress in megaliters, and a breakdown of this total by the following sources, if applicable:
i. Surface water;
ii. Groundwater;
iii. Seawater;
iv. Produced water;
v. Third-party water, and a breakdown of this total by the withdrawal sources listed in i-iv.
c. A breakdown of total water withdrawal from each of the sources listed in Disclosures 303-3-a and 303-3-b in megaliters by the following categories:
i. Freshwater (≤1,000 mg/L Total Dissolved Solids);
ii. Other water (>1,000 mg/L Total Dissolved Solids).
d. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.",
GRI 303-4,303-4 Water discharge,"a. Total water discharge to all areas in megaliters, and a breakdown of this total by the following types of destination, if applicable:
i. Surface water;
ii. Groundwater;
iii. Seawater;
iv. Third-party water, and the volume of this total sent for use to other organizations, if applicable.
b. A breakdown of total water discharge to all areas in megaliters by the following categories:
i. Freshwater (≤1,000 mg/L Total Dissolved Solids);
ii. Other water (>1,000 mg/L Total Dissolved Solids). 
c. Total water discharge to all areas with water stress in megaliters, and a breakdown of this total by the following categories:
i. Freshwater (≤1,000 mg/L Total Dissolved Solids);
ii. Other water (>1,000 mg/L Total Dissolved Solids). 
e. Priority substances of concern for which discharges are treated, including:
i. how priority substances of concern were defined, and any international standard, authoritative list, or criteria used;
ii. the approach for setting discharge limits for priority substances of concern;
iii. number of incidents of non-compliance with discharge limits. 
e. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.",
GRI 303-5,303-5 Water consumption,"a. Total water consumption from all areas in megaliters.
b. Total water consumption from all areas with water stress in megaliters. 
c. Change in water storage in megaliters, if water storage has been identified as having a significant water-related impact. 
d. Any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used, including whether the information is calculated, estimated, modeled, or sourced from direct measurements, and the approach taken for this, such as the use of any sector-specific factors.",
GRI 304-1,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","a. For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas, the following information: 
i. Geographic location;
ii. Subsurface and underground land that may be owned, leased, or managed by the organization; 
iii. Position in relation to the protected area (in the area, adjacent to, or containing portions of the protected area) or the high biodiversity value area outside protected areas; 
iv. Type of operation (office, manufacturing or production, or extractive);
v. Size of operational site in km2 (or another unit, if appropriate); 
vi. Biodiversity value characterized by the attribute of the protected area or area of high biodiversity value outside the protected area (terrestrial, freshwater, or maritime ecosystem); 
vii. Biodiversity value characterized by listing of protected status (such as IUCN Protected Area Management Categories, Ramsar Convention, national legislation).",
GRI 304-2,"304-2 Significant impacts of activities, products, and services on biodiversity","a. Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the following: 
i. Construction or use of manufacturing plants, mines, and transport infrastructure; 
ii. Pollution (introduction of substances that do not naturally occur in the habitat from point and non-point sources); 
iii. Introduction of invasive species, pests, and pathogens; 
iv. Reduction of species; 
v. Habitat conversion; 
vi. Changes in ecological processes outside the natural range of variation (such as salinity or changes in groundwater level). 
b. Significant direct and indirect positive and negative impacts with reference to the following: 
i. Species affected; 
ii. Extent of areas impacted; 
iii. Duration of impacts; 
iv. Reversibility or irreversibility of the impacts.",
GRI 304-3,304-3 Habitats protected or restored,"a. Size and location of all habitat areas protected or restored, and whether the success of the restoration measure was or is approved by independent external professionals.
b. Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the organization has overseen and implemented restoration or protection measures. 
c. Status of each area based on its condition at the close of the reporting period. 
d. Standards, methodologies, and assumptions used.",
GRI 304-4,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,"a. Total number of IUCN Red List species and national conservation list species with habitats in areas affected by the operations of the organization, by level of extinction risk: 
i. Critically endangered 
ii. Endangered 
iii. Vulnerable 
iv. Near threatened 
v. Least concern",
GRI 305-1,305-1 Direct (Scope 1) GHG emissions,"a. Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent. 
b. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. 
c. Biogenic CO2 emissions in metric tons of CO2 equivalent. 
d. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions.
e. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source. 
f. Consolidation approach for emissions; whether equity share, financial control, or operational control.
g. Standards, methodologies, assumptions, and/or calculation tools used.",
GRI 305-2,305-2 Energy indirect (Scope 2) GHG emissions,"a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.
c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. 
d. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions.
e. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source.
f. Consolidation approach for emissions; whether equity share, financial control, or operational control. 
g. Standards, methodologies, assumptions, and/or calculation tools used",
GRI 305-3,305-3 Other indirect (Scope 3) GHG emissions,"a. Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. 
c. Biogenic CO2 emissions in metric tons of CO2 equivalent. 
d. Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.
e. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions.
f. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source. 
g. Standards, methodologies, assumptions, and/or calculation tools used",
GRI 305-4,305-4 GHG emissions intensity,"a. GHG emissions intensity ratio for the organization. 
b. Organization-specific metric (the denominator) chosen to calculate the ratio. 
c. Types of GHG emissions included in the intensity ratio; whether direct (Scope 1), energy indirect (Scope 2), and/or other indirect (Scope 3).
d. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",
GRI 305-5,305-5 Reduction of GHG emissions,"a. GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO equivalent. 
b. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. 
c. Base year or baseline, including the rationale for choosing it. 
d. Scopes in which reductions took place; whether direct (Scope 1), energy indirect (Scope 2), and/or other indirect (Scope 3).
e. Standards, methodologies, assumptions, and/or calculation tools used.",
GRI 305-6,305-6 Emissions of ozone-depleting substances (ODS),"a. Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent. 
b. Substances included in the calculation.
c. Source of the emission factors used.
d. Standards, methodologies, assumptions, and/or calculation tools used.",
GRI 305-7,"305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions","a. Significant air emissions, in kilograms or multiples, for each of the following: 
i. NOx; 
ii. SOx; 
iii. Persistent organic pollutants (POP); 
iv. Volatile organic compounds (VOC); 
v. Hazardous air pollutants (HAP); 
vi. Particulate matter (PM); 
vii. Other standard categories of air emissions identified in relevant regulations
b. Source of the emission factors used. 
c. Standards, methodologies, assumptions, and/or calculation tools used.",
GRI 306-1,306-1 Waste generation and significant waste-related impacts,"a. For the organization’s significant actual and potential waste-related impacts, a description of: i. the inputs, activities, and outputs that lead or could lead to these impacts; ii. whether these impacts relate to waste generated in the organization’s own activities or to waste generated upstream or downstream in its value chain.",
GRI 306-2,306-2 Management of significant waste-related impacts,"a. Actions, including circularity measures, taken to prevent waste generation in the organization’s own activities and upstream and downstream in its value chain, and to manage significant impacts from waste generated.
b. If the waste generated by the organization in its own activities is managed by a third party, a description of the processes used to determine whether the third party manages the waste in line with contractual or legislative obligations. 
c. The processes used to collect and monitor waste-related data.",
GRI 306-3,306-3 Waste generated,"a. Total weight of waste generated in metric tons, and a breakdown of this total by composition of the waste. 
b. Contextual information necessary to understand the data and how the data has been compiled.",
GRI 306-4,306-4 Waste diverted from disposal,"a. Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition of the waste.
b. Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by the following recovery operations: i. Preparation for reuse; ii. Recycling; iii. Other recovery operations.
c. Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total by the following recovery operations: i. Preparation for reuse; ii. Recycling; iii. Other recovery operations.
d. For each recovery operation listed in Disclosures 306-4-b and 306-4-c, a breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted from disposal: i. onsite; ii. offsite.
e. Contextual information necessary to understand the data and how the data has been compiled.",
GRI 306-5,306-5 Waste directed to disposal,"a. Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of the waste.
b. Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the following disposal operations: 
i. Incineration (with energy recovery); 
ii. Incineration (without energy recovery); 
iii. Landfilling; 
iv. Other disposal operations.
c. Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by the following disposal operations: 
i. Incineration (with energy recovery); 
ii. Incineration (without energy recovery); 
iii. Landfilling; 
iv. Other disposal operations. 
d. For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste directed to disposal: 
i. onsite; 
ii. offsite. 
e. Contextual information necessary to understand the data and how the data has been compiled.",
